日期,求和项:收盘
2012年12月27日,4145.52
2012年12月28日,4191.09
2012年12月31日,4236.6
2013年1月4日,4172.74
2013年1月7日,4205.12
2013年1月8日,4270.25
2013年1月9日,4312.19
2013年1月10日,4337.44
2013年1月11日,4272.7
2013年1月14日,4458.1
2013年1月15日,4548.86
2013年1月16日,4554.52
2013年1月17日,4502.45
2013年1月18日,4566.37
2013年1月21日,4556.99
2013年1月22日,4488.15
2013年1月23日,4494.84
2013年1月24日,4401.51
2013年1月25日,4399.36
2013年1月28日,4489.93
2013年1月29日,4524.99
2013年1月30日,4513.25
2013年1月31日,4471.13
2013年2月1日,4499.35
2013年2月4日,4440.97
2013年2月5日,4507.66
2013年2月6日,4544.56
2013年2月7日,4615.93
2013年2月8日,4680.39
2013年2月18日,4668.71
2013年2月19日,4583.08
2013年2月20日,4687.99
2013年2月21日,4603.36
2013年2月22日,4599.5
2013年2月25日,4649.52
2013年2月26日,4579.8
2013年2月27日,4576.44
2013年2月28日,4656.51
2013年3月1日,4706.83
2013年3月4日,4577.63
2013年3月5日,4708.95
2013年3月6日,4784.67
2013年3月7日,4702.45
2013年3月8日,4647.4
2013年3月11日,4671.15
2013年3月12日,4548.35
2013年3月13日,4518.12
2013年3月14日,4564.71
2013年3月15日,4578.31
2013年3月18日,4511.8
2013年3月19日,4516.68
2013年3月20日,4646.13
2013年3月21日,4699.43
2013年3月22日,4723.53
2013年3月25日,4730.95
2013年3月26日,4711.27
2013年3月27日,4704.58
2013年3月28日,4610.57
2013年3月29日,4614.6
2013年4月1日,4611.9
2013年4月2日,4498.44
2013年4月3日,4478.41
2013年4月8日,4538.68
2013年4月9日,4570.2
2013年4月10日,4549.87
2013年4月11日,4519.63
2013年4月12日,4497.9
2013年4月15日,4437.33
2013年4月16日,4489.07
2013年4月17日,4561.43
2013年4月18日,4571.72
2013年4月19日,4658.77
2013年4月22日,4692.58
2013年4月23日,4561.81
2013年4月24日,4665.75
2013年4月25日,4573.56
2013年4月26日,4481.2
2013年5月2日,4503.34
2013年5月3日,4594.76
2013年5月6日,4694.29
2013年5月7日,4679.17
2013年5月8日,4732.11
2013年5月9日,4742.63
2013年5月10日,4750.96
2013年5月13日,4765.58
2013年5月14日,4710.4
2013年5月15日,4804.2
2013年5月16日,4853.74
2013年5月17日,4935.78
2013年5月20日,5021.99
2013年5月21日,5125.66
2013年5月22日,5069.29
2013年5月23日,5067.58
2013年5月24日,5157.08
2013年5月27日,5194.15
2013年5月28日,5157.45
2013年5月29日,5196.07
2013年5月30日,5198.16
2013年5月31日,5131.98
2013年6月3日,5069.23
2013年6月4日,4958.83
2013年6月5日,4990.17
2013年6月6日,4921.61
2013年6月7日,4843.13
2013年6月13日,4719.62
2013年6月14日,4857.52
2013年6月17日,4875.24
2013年6月18日,4864.48
2013年6月19日,4856.44
2013年6月20日,4683.81
2013年6月21日,4674.72
2013年6月24日,4375.6
2013年6月25日,4391.74
2013年6月26日,4536.06
2013年6月27日,4454.26
2013年6月28日,4456.56
2013年7月1日,4583.06
2013年7月2日,4671.04
2013年7月3日,4712.5
2013年7月4日,4701.72
2013年7月5日,4650.12
2013年7月8日,4470.55
2013年7月9日,4470.47
2013年7月10日,4591.29
2013年7月11日,4719.74
2013年7月12日,4691.33
2013年7月15日,4819.08
2013年7月16日,4882.22
2013年7月17日,4780.9
2013年7月18日,4747.66
2013年7月19日,4680.66
2013年7月22日,4745.65
2013年7月23日,4888.48
2013年7月24日,4921.46
2013年7月25日,4817.64
2013年7月26日,4782.7
2013年7月29日,4682.08
2013年7月30日,4627.23
2013年7月31日,4623.88
2013年8月1日,4795.01
2013年8月2日,4825.27
2013年8月5日,4925.77
2013年8月6日,5005.67
2013年8月7日,4935.08
2013年8月8日,4984.29
2013年8月9日,4964.26
2013年8月12日,5023.42
2013年8月13日,5038.91
2013年8月14日,5016.31
2013年8月15日,4939.04
2013年8月16日,4808.74
2013年8月19日,4902.77
2013年8月20日,4883.64
2013年8月21日,4922.52
2013年8月22日,4933.46
2013年8月23日,4951.9
2013年8月26日,5054.6
2013年8月27日,5063.16
2013年8月28日,4982.21
2013年8月29日,4946.65
