日期,求和项:收盘
2013年5月6日,3514.46
2013年5月7日,3521.48
2013年5月8日,3553.85
2013年5月9日,3555.77
2013年5月10日,3577.33
2013年5月13日,3590.76
2013年5月14日,3549.3
2013年5月15日,3597.11
2013年5月16日,3635.76
2013年5月17日,3691.4
2013年5月20日,3737.75
2013年5月21日,3787.06
2013年5月22日,3755.87
2013年5月23日,3724.23
2013年5月24日,3782.07
2013年5月27日,3820.43
2013年5月28日,3827.78
2013年5月29日,3856.32
2013年5月30日,3865.13
2013年5月31日,3841.22
2013年6月3日,3814.51
2013年6月4日,3739.72
2013年6月5日,3755.15
2013年6月6日,3688.74
2013年6月7日,3616.21
2013年6月13日,3515.05
2013年6月14日,3584.98
2013年6月17日,3593.37
2013年6月18日,3605.76
2013年6月19日,3583.3
2013年6月20日,3465
2013年6月21日,3446.48
2013年6月24日,3232.96
2013年6月25日,3219.13
2013年6月26日,3285.82
2013年6月27日,3233.22
2013年6月28日,3235.98
2013年7月1日,3304.59
2013年7月2日,3359.05
2013年7月3日,3364.18
2013年7月4日,3390.49
2013年7月5日,3371.53
2013年7月8日,3240.48
2013年7月9日,3259.91
2013年7月10日,3361.4
2013年7月11日,3455.88
2013年7月12日,3425.14
2013年7月15日,3493.44
2013年7月16日,3536.31
2013年7月17日,3485.07
2013年7月18日,3481.2
2013年7月19日,3394.31
2013年7月22日,3461.28
2013年7月23日,3544.97
2013年7月24日,3566.28
2013年7月25日,3498.24
2013年7月26日,3494.16
2013年7月29日,3426.59
2013年7月30日,3411.22
2013年7月31日,3430.74
2013年8月1日,3521.15
2013年8月2日,3533.61
2013年8月5日,3592.54
2013年8月6日,3631.12
2013年8月7日,3596.32
2013年8月8日,3605.85
2013年8月9日,3618.74
2013年8月12日,3676.19
2013年8月13日,3695.55
2013年8月14日,3681.08
2013年8月15日,3631.32
2013年8月16日,3554.35
2013年8月19日,3609.03
2013年8月20日,3599.64
2013年8月21日,3627.5
2013年8月22日,3636.47
2013年8月23日,3627.97
2013年8月26日,3703.59
2013年8月27日,3732.1
2013年8月28日,3703.92
2013年8月29日,3701.08
2013年8月30日,3664.15
2013年9月2日,3689.96
2013年9月3日,3744.87
2013年9月4日,3755.24
2013年9月5日,3762.57
2013年9月6日,3792.83
2013年9月9日,3831.93
2013年9月10日,3870.92
2013年9月11日,3834.26
