日期,求和项:收盘
2010年6月9日,1077.82
2010年6月10日,1117.48
2010年6月11日,1122.2
2010年6月17日,1064.84
2010年6月18日,1000.28
2010年6月21日,1040.8
2010年6月22日,1034.99
2010年6月23日,1047.34
2010年6月24日,1050.6
2010年6月25日,1016.28
2010年6月28日,987.83
2010年6月29日,913.31
2010年6月30日,919.31
2010年7月1日,882.19
2010年7月2日,873.12
2010年7月5日,862.27
2010年7月6日,893.72
2010年7月7日,908.55
2010年7月8日,905.51
2010年7月9日,932.15
2010年7月12日,930.17
2010年7月13日,931.08
2010年7月14日,922.36
2010年7月15日,892.56
2010年7月16日,892.3
2010年7月19日,908.05
2010年7月20日,937.02
2010年7月21日,941.25
2010年7月22日,950.21
2010年7月23日,960.59
2010年7月26日,966.15
2010年7月27日,957.97
2010年7月28日,972.53
2010年7月29日,975.36
2010年7月30日,968.43
2010年8月2日,994.23
2010年8月3日,975.64
2010年8月4日,978.01
2010年8月5日,987.35
2010年8月6日,1011.39
2010年8月9日,1032.34
2010年8月10日,993.99
2010年8月11日,1004.64
2010年8月12日,991.78
2010年8月13日,1007.21
2010年8月16日,1030.22
2010年8月17日,1033.58
2010年8月18日,1026.72
2010年8月19日,1025.53
2010年8月20日,995.94
2010年8月23日,995.61
2010年8月24日,1004.99
2010年8月25日,976.88
2010年8月26日,980.63
2010年8月27日,999.46
2010年8月30日,1024.93
2010年8月31日,1025.57
2010年9月1日,995.59
2010年9月2日,1014.92
2010年9月3日,1036.7
2010年9月6日,1010.76
2010年9月7日,1022.62
2010年9月8日,1026.33
2010年9月9日,1021.83
2010年9月10日,1034.94
2010年9月13日,1042.48
2010年9月14日,1031.22
2010年9月15日,990.1
2010年9月16日,972.6
2010年9月17日,972.23
2010年9月20日,949.2
2010年9月21日,934.46
2010年9月27日,950.67
2010年9月28日,942.05
2010年9月29日,926.76
2010年9月30日,942.54
2010年10月8日,959.86
2010年10月11日,947.11
2010年10月12日,951.79
2010年10月13日,962.74
2010年10月14日,958.5
2010年10月15日,944.25
2010年10月18日,932.36
2010年10月19日,995.92
2010年10月20日,1004.54
2010年10月21日,991.84
2010年10月22日,1013.45
2010年10月25日,1039.05
2010年10月26日,1036.01
2010年10月27日,1030.59
2010年10月28日,1038.62
2010年10月29日,1064.52
2010年11月1日,1107.52
2010年11月2日,1075.15
2010年11月3日,1040.62
2010年11月4日,1057.71
2010年11月5日,1072.22
2010年11月8日,1107.06
2010年11月9日,1115.65
2010年11月10日,1141.58
2010年11月11日,1132.72
2010年11月12日,1082.24
2010年11月15日,1148.54
2010年11月16日,1126.17
2010年11月17日,1085.35
2010年11月18日,1102.85
2010年11月19日,1153.17
2010年11月22日,1174.94
2010年11月23日,1183.5
2010年11月24日,1208.45
2010年11月25日,1186.36
2010年11月26日,1196.02
2010年11月29日,1220.11
2010年11月30日,1181.5
2010年12月1日,1177.17
2010年12月2日,1177.84
2010年12月3日,1157.94
2010年12月6日,1134.38
2010年12月7日,1161.69
2010年12月8日,1160.24
2010年12月9日,1144.53
2010年12月10日,1166.8
2010年12月13日,1209.27
2010年12月14日,1218.52
2010年12月15日,1211.8
2010年12月16日,1225.03
2010年12月17日,1232.98
2010年12月20日,1212.34
2010年12月21日,1215.02
2010年12月22日,1201.65
2010年12月23日,1176.36
2010年12月24日,1144.5
2010年12月27日,1105.3
2010年12月28日,1091.48
2010年12月29日,1113.31
2010年12月30日,1117.21
2010年12月31日,1137.66
2011年1月4日,1155.11
2011年1月5日,1155.35
2011年1月6日,1134.79
2011年1月7日,1126.52
2011年1月10日,1093.77
2011年1月11日,1078.37
2011年1月12日,1089.67
2011年1月13日,1093.86
2011年1月14日,1067.42
2011年1月17日,1028.16
2011年1月18日,1025.72
2011年1月19日,1048.54
2011年1月20日,1020.39
2011年1月21日,1024.51
2011年1月24日,994.97
2011年1月25日,979
2011年1月26日,995.74
2011年1月27日,1013.02
2011年1月28日,1020.94
2011年1月31日,1029.12
2011年2月1日,1032.6
2011年2月9日,1025.15
2011年2月10日,1063.95
2011年2月11日,1071.58
2011年2月14日,1086.56
2011年2月15日,1087.72
2011年2月16日,1107.24
2011年2月17日,1115.33
2011年2月18日,1100.46
2011年2月21日,1117.67
2011年2月22日,1088.27
2011年2月23日,1114.05
2011年2月24日,1101.95
2011年2月25日,1095.1
2011年2月28日,1099.78
2011年3月1日,1098
2011年3月2日,1088.9
2011年3月3日,1064.31
2011年3月4日,1071.86
2011年3月7日,1078.11
2011年3月8日,1084.82
2011年3月9日,1087.3
2011年3月10日,1093.9
2011年3月11日,1101.76
2011年3月14日,1107.54
2011年3月15日,1094.95
2011年3月16日,1102.21
2011年3月17日,1078.37
2011年3月18日,1083.6
2011年3月21日,1070.6
2011年3月22日,1067.29
2011年3月23日,1076.56
2011年3月24日,1077.99
2011年3月25日,1072.34
2011年3月28日,1052.11
2011年3月29日,1019.04
2011年3月30日,1006.37
2011年3月31日,1008.3
2011年4月1日,1015.08
2011年4月6日,994.26
2011年4月7日,1004.41
2011年4月8日,1019.14
2011年4月11日,1002.8
2011年4月12日,1000.16
2011年4月13日,1020.75
2011年4月14日,1016.62
2011年4月15日,1010.06
2011年4月18日,1003.26
2011年4月19日,994.3
2011年4月20日,1008.18
2011年4月21日,1010.56
2011年4月22日,1004.65
2011年4月25日,975.17
2011年4月26日,958.29
2011年4月27日,942.54
2011年4月28日,904.15
2011年4月29日,912.72
2011年5月3日,922.07
2011年5月4日,903.99
2011年5月5日,914.59
2011年5月6日,918.28
2011年5月9日,931.77
2011年5月10日,931.21
2011年5月11日,929.95
2011年5月12日,909.25
2011年5月13日,909.77
2011年5月16日,906.34
2011年5月17日,895.15
2011年5月18日,890.79
2011年5月19日,884.89
2011年5月20日,875.43
2011年5月23日,840.9
2011年5月24日,870.94
2011年5月25日,842.35
2011年5月26日,830.92
2011年5月27日,822.94
2011年5月30日,834.32
2011年5月31日,846.32
2011年6月1日,851.17
2011年6月2日,833.74
2011年6月3日,847.54
2011年6月7日,847.71
2011年6月8日,844.98
2011年6月9日,828.02
2011年6月10日,824.03
2011年6月13日,829.36
2011年6月14日,838.47
2011年6月15日,827.53
2011年6月16日,810.71
2011年6月17日,802.64
2011年6月20日,791.76
2011年6月21日,795.61
2011年6月22日,791.51
2011年6月23日,814.44
2011年6月24日,832.32
2011年6月27日,843.86
2011年6月28日,844.18
2011年6月29日,836.38
2011年6月30日,845.92
2011年7月1日,855.27
2011年7月4日,876.17
2011年7月5日,883.42
2011年7月6日,894.28
2011年7月7日,899.8
2011年7月8日,894.91
2011年7月11日,903.31
2011年7月12日,891.52
2011年7月13日,913.09
2011年7月14日,932.77
2011年7月15日,951.14
2011年7月18日,946.12
2011年7月19日,927.3
2011年7月20日,930.83
2011年7月21日,915.37
2011年7月22日,924
2011年7月25日,887.06
2011年7月26日,892.54
2011年7月27日,915.55
2011年7月28日,919.39
2011年7月29日,913.28
2011年8月1日,927.38
2011年8月2日,932.12
2011年8月3日,945.51
2011年8月4日,937.48
2011年8月5日,919.18
2011年8月8日,877.44
2011年8月9日,878.76
2011年8月10日,891.75
2011年8月11日,915.49
2011年8月12日,926.3
2011年8月15日,942.49
2011年8月16日,933.14
2011年8月17日,936.16
2011年8月18日,915.68
2011年8月19日,912.42
2011年8月22日,910.61
2011年8月23日,936.42
2011年8月24日,940.2
2011年8月25日,942.94
2011年8月26日,952.81
2011年8月29日,954.03
2011年8月30日,934.18
2011年8月31日,921.5
2011年9月1日,917.75
2011年9月2日,909.85
2011年9月5日,883.87
2011年9月6日,874.74
2011年9月7日,899.61
2011年9月8日,891.93
2011年9月9日,881.58
2011年9月13日,861.92
2011年9月14日,876.95
2011年9月15日,875.86
2011年9月16日,874.88
2011年9月19日,854.71
2011年9月20日,856.81
2011年9月21日,881.03
2011年9月22日,852.92
2011年9月23日,843.48
2011年9月26日,829.35
2011年9月27日,830.88
2011年9月28日,817.51
2011年9月29日,791.89
2011年9月30日,791.13
2011年10月10日,790.04
2011年10月11日,786.15
2011年10月12日,816.14
2011年10月13日,833.02
2011年10月14日,830.2
2011年10月17日,832.29
2011年10月18日,806.6
2011年10月19日,804.44
2011年10月20日,778.95
2011年10月21日,763.29
2011年10月24日,772.41
2011年10月25日,797.86
2011年10月26日,811.13
2011年10月27日,810.92
2011年10月28日,833.42
2011年10月31日,852.8
2011年11月1日,853.36
2011年11月2日,881.05
2011年11月3日,877.66
2011年11月4日,882.25
2011年11月7日,878.76
2011年11月8日,862.36
2011年11月9日,891.12
2011年11月10日,895.27
2011年11月11日,891.19
2011年11月14日,915.98
2011年11月15日,920.97
2011年11月16日,893.51
2011年11月17日,898.34
2011年11月18日,869.19
2011年11月21日,863.13
2011年11月22日,868.43
2011年11月23日,864.81
2011年11月24日,868.14
2011年11月25日,863.5
2011年11月28日,866.84
2011年11月29日,880.31
2011年11月30日,838.11
2011年12月1日,852.87
2011年12月2日,829.18
2011年12月5日,792.5
2011年12月6日,798.1
2011年12月7日,802.62
2011年12月8日,809.43
2011年12月9日,798.84
2011年12月12日,790.79
2011年12月13日,768.92
2011年12月14日,755.76
2011年12月15日,746.55
2011年12月16日,778.77
2011年12月19日,793.44
2011年12月20日,781.42
2011年12月21日,761.34
2011年12月22日,757.9
2011年12月23日,761.44
2011年12月26日,753.05
2011年12月27日,727.17
2011年12月28日,717.55
2011年12月29日,716.55
2011年12月30日,729.5
2012年1月4日,707.11
2012年1月5日,666.9
2012年1月6日,669.02
2012年1月9日,692.42
2012年1月10日,716.45
2012年1月11日,717.94
2012年1月12日,709.89
2012年1月13日,666.08
2012年1月16日,633.91
2012年1月17日,662.69
2012年1月18日,624.91
2012年1月19日,632.8
2012年1月20日,646.38
2012年1月30日,651.25
2012年1月31日,648.68
2012年2月1日,650.78
2012年2月2日,665.4
2012年2月3日,680.04
2012年2月6日,686.51
2012年2月7日,673.68
2012年2月8日,692.3
2012年2月9日,697.79
2012年2月10日,698.85
2012年2月13日,714.96
2012年2月14日,712.3
2012年2月15日,724.75
2012年2月16日,721.83
2012年2月17日,717.8
2012年2月20日,721.1
2012年2月21日,736.88
2012年2月22日,759.56
2012年2月23日,756.9
2012年2月24日,762.29
2012年2月27日,760.37
2012年2月28日,747.77
2012年2月29日,735.34
2012年3月1日,743.15
2012年3月2日,757.67
2012年3月5日,759.37
2012年3月6日,750.84
2012年3月7日,749.27
2012年3月8日,761.7
2012年3月9日,777.69
2012年3月12日,786.05
2012年3月13日,792.38
2012年3月14日,756.46
2012年3月15日,746.44
2012年3月16日,765.56
2012年3月19日,779.56
2012年3月20日,755.58
2012年3月21日,751.79
2012年3月22日,750.85
2012年3月23日,737.89
2012年3月26日,737.21
2012年3月27日,735.73
2012年3月28日,698.49
2012年3月29日,683.96
2012年3月30日,678.52
2012年4月5日,697.75
2012年4月6日,701.9
2012年4月9日,689.72
2012年4月10日,697.16
2012年4月11日,698.49
2012年4月12日,713.12
2012年4月13日,718.96
2012年4月16日,716.23
2012年4月17日,709.14
2012年4月18日,723.46
2012年4月19日,725.12
2012年4月20日,728.72
2012年4月23日,690.43
2012年4月24日,681.53
2012年4月25日,682.52
2012年4月26日,678.44
2012年4月27日,685.13
2012年5月2日,693.61
2012年5月3日,699.31
2012年5月4日,713.19
2012年5月7日,733.04
2012年5月8日,731.72
2012年5月9日,719.35
2012年5月10日,727.28
2012年5月11日,721.08
2012年5月14日,719.87
2012年5月15日,720.12
2012年5月16日,709.96
2012年5月17日,716.17
2012年5月18日,706.22
2012年5月21日,704.8
2012年5月22日,714.66
2012年5月23日,713.02
2012年5月24日,712.58
2012年5月25日,702.72
2012年5月28日,706.47
2012年5月29日,720.45
2012年5月30日,727.19
2012年5月31日,734.45
2012年6月1日,734.26
2012年6月4日,717.1
2012年6月5日,715.93
2012年6月6日,715.24
2012年6月7日,711.43
2012年6月8日,713.92
2012年6月11日,734.5
2012年6月12日,735.29
2012年6月13日,746.5
2012年6月14日,740.97
2012年6月15日,742.27
2012年6月18日,752.98
2012年6月19日,747.49
2012年6月20日,748.39
2012年6月21日,739.05
2012年6月25日,720.6
2012年6月26日,715.92
2012年6月27日,718.93
2012年6月28日,711.14
2012年6月29日,726.68
2012年7月2日,741.19
2012年7月3日,743.9
2012年7月4日,739.62
2012年7月5日,724.31
2012年7月6日,737.29
2012年7月9日,722.28
2012年7月10日,713.53
2012年7月11日,719.3
2012年7月12日,734.32
2012年7月13日,725.79
2012年7月16日,691.38
2012年7月17日,697
2012年7月18日,702.14
2012年7月19日,709.17
2012年7月20日,706.25
2012年7月23日,704.57
2012年7月24日,706.4
2012年7月25日,708.3
2012年7月26日,706.73
2012年7月27日,703.58
2012年7月30日,688.47
2012年7月31日,676.96
2012年8月1日,689.49
2012年8月2日,690.98
2012年8月3日,711.92
2012年8月6日,730.42
2012年8月7日,736.01
2012年8月8日,730.07
2012年8月9日,743.2
2012年8月10日,743.07
2012年8月13日,727.64
2012年8月14日,736.35
2012年8月15日,729.73
2012年8月16日,723.53
2012年8月17日,721.05
2012年8月20日,730.87
2012年8月21日,748.93
2012年8月22日,746.85
2012年8月23日,750.56
2012年8月24日,733.31
2012年8月27日,722.57
2012年8月28日,727.62
2012年8月29日,726.94
2012年8月30日,704.03
2012年8月31日,706.62
2012年9月3日,723.87
2012年9月4日,722.72
2012年9月5日,730.62
2012年9月6日,739.74
2012年9月7日,759.46
2012年9月10日,762.31
2012年9月11日,761.73
2012年9月12日,762.51
2012年9月13日,749.89
2012年9月14日,744.46
2012年9月17日,724.14
2012年9月18日,723.61
2012年9月19日,728.25
2012年9月20日,706.69
2012年9月21日,691.14
2012年9月24日,690.34
2012年9月25日,682.34
2012年9月26日,661.49
2012年9月27日,676.96
2012年9月28日,689.64
2012年10月8日,690.77
2012年10月9日,712.7
2012年10月10日,721.85
2012年10月11日,711.8
2012年10月12日,708.87
2012年10月15日,701.96
2012年10月16日,705.39
2012年10月17日,709.09
2012年10月18日,720.52
2012年10月19日,719.45
2012年10月22日,724.28
2012年10月23日,711.26
2012年10月24日,707.75
2012年10月25日,697.44
2012年10月26日,685.33
2012年10月29日,688.12
2012年10月30日,689.61
2012年10月31日,691.65
2012年11月1日,701.78
2012年11月2日,701.38
2012年11月5日,692.87
2012年11月6日,690.5
2012年11月7日,689.75
2012年11月8日,675.85
2012年11月9日,672.67
2012年11月12日,676.6
2012年11月13日,667.33
2012年11月14日,665.18
2012年11月15日,659.21
2012年11月16日,656.2
2012年11月19日,656.94
2012年11月20日,656.61
2012年11月21日,660.03
2012年11月22日,651.83
2012年11月23日,651.43
2012年11月26日,638.88
2012年11月27日,616.28
2012年11月28日,607.67
2012年11月29日,603.17
2012年11月30日,606.77
2012年12月3日,593.66
2012年12月4日,600.8
2012年12月5日,624.82
2012年12月6日,624.32
2012年12月7日,637.49
2012年12月10日,646.32
2012年12月11日,641.17
2012年12月12日,639.51
2012年12月13日,632.18
2012年12月14日,656.22
2012年12月17日,649.61
2012年12月18日,646.05
2012年12月19日,652.1
2012年12月20日,658.31
2012年12月21日,668.09
2012年12月24日,679.76
2012年12月25日,694.12
2012年12月26日,709.08
2012年12月27日,699.57
2012年12月28日,707.67
2012年12月31日,713.86
2013年1月4日,705.34
2013年1月7日,718.11
2013年1月8日,733.14
2013年1月9日,734.51
2013年1月10日,741.18
2013年1月11日,731.59
2013年1月14日,760.55
2013年1月15日,778.6
2013年1月16日,774.49
2013年1月17日,768.31
2013年1月18日,787.39
2013年1月21日,792.6
2013年1月22日,775.13
2013年1月23日,778.48
2013年1月24日,757.87
2013年1月25日,762.85
2013年1月28日,784.76
2013年1月29日,791.67
2013年1月30日,783.68
2013年1月31日,776
2013年2月1日,782.36
2013年2月4日,771.9
2013年2月5日,780.98
2013年2月6日,791.26
2013年2月7日,805.59
2013年2月8日,823.03
2013年2月18日,835.28
2013年2月19日,819.71
2013年2月20日,850.86
2013年2月21日,839.3
2013年2月22日,838.76
2013年2月25日,855.69
2013年2月26日,851.22
2013年2月27日,846.09
2013年2月28日,861.1
2013年3月1日,884.89
2013年3月4日,863.5
2013年3月5日,888.1
2013年3月6日,902.9
2013年3月7日,877.34
2013年3月8日,864.7
2013年3月11日,869.15
2013年3月12日,839.84
2013年3月13日,834.05
2013年3月14日,842.04
2013年3月15日,853.91
2013年3月18日,852.12
2013年3月19日,842.68
2013年3月20日,866.27
2013年3月21日,882.73
2013年3月22日,882
2013年3月25日,881.76
2013年3月26日,876.36
2013年3月27日,882.75
2013年3月28日,867.51
2013年3月29日,866.46
2013年4月1日,877
2013年4月2日,845.16
2013年4月3日,835.14
2013年4月8日,853.48
2013年4月9日,861.99
2013年4月10日,850.53
2013年4月11日,847.78
2013年4月12日,846.61
2013年4月15日,836.34
2013年4月16日,846.05
2013年4月17日,867.51
2013年4月18日,873.48
2013年4月19日,892.21
2013年4月22日,916.02
2013年4月23日,893.79
2013年4月24日,923.41
2013年4月25日,903.63
2013年4月26日,889.38
2013年5月2日,913.65
2013年5月3日,939.21
2013年5月6日,958.02
2013年5月7日,957.44
2013年5月8日,980.08
2013年5月9日,992.16
2013年5月10日,988.3
2013年5月13日,995.11
2013年5月14日,976.33
2013年5月15日,1012.66
2013年5月16日,1009.53
2013年5月17日,1023.4
2013年5月20日,1051.65
2013年5月21日,1073.58
2013年5月22日,1039.81
2013年5月23日,1042.9
2013年5月24日,1073.78
2013年5月27日,1089.72
2013年5月28日,1059
2013年5月29日,1065.96
2013年5月30日,1073.87
2013年5月31日,1073.02
2013年6月3日,1052.14
2013年6月4日,1022.46
2013年6月5日,1032.76
2013年6月6日,1022.13
2013年6月7日,1030.14
2013年6月13日,1029.28
2013年6月14日,1068.15
2013年6月17日,1073.69
2013年6月18日,1072.93
2013年6月19日,1067.62
2013年6月20日,1029.53
2013年6月21日,1025.5
2013年6月24日,971.45
2013年6月25日,984.75
2013年6月26日,1038.98
2013年6月27日,1022.5
2013年6月28日,1011.66
2013年7月1日,1055.84
2013年7月2日,1083.25
2013年7月3日,1104.58
2013年7月4日,1087.9
2013年7月5日,1057.27
2013年7月8日,1030.6
