日期,求和项:收盘
2010年6月9日,1906.9
2010年6月10日,1873.82
2010年6月11日,1883.2
2010年6月17日,1882.13
2010年6月18日,1870.87
2010年6月21日,1933.62
2010年6月22日,1930
2010年6月23日,1913.63
2010年6月24日,1914.65
2010年6月25日,1915.91
2010年6月28日,1910.47
2010年6月29日,1833.04
2010年6月30日,1819.11
2010年7月1日,1799.88
2010年7月2日,1812.58
2010年7月5日,1797.66
2010年7月6日,1826.39
2010年7月7日,1829.56
2010年7月8日,1828.13
2010年7月9日,1870.3
2010年7月12日,1887.67
2010年7月13日,1859.15
2010年7月14日,1873.04
2010年7月15日,1840.67
2010年7月16日,1839.22
2010年7月19日,1878.53
2010年7月20日,1909.96
2010年7月21日,1914.33
2010年7月22日,1933.88
2010年7月23日,1945.45
2010年7月26日,1951.87
2010年7月27日,1936.07
2010年7月28日,1983.63
2010年7月29日,1993.87
2010年7月30日,1986.76
2010年8月2日,2015.65
2010年8月3日,1978.41
2010年8月4日,1981.53
2010年8月5日,1954.34
2010年8月6日,1979.23
2010年8月9日,1988.02
2010年8月10日,1934.59
2010年8月11日,1939.84
2010年8月12日,1914.45
2010年8月13日,1930.67
2010年8月16日,1971.3
2010年8月17日,1979.79
2010年8月18日,1974.66
2010年8月19日,1994.16
2010年8月20日,1967.06
2010年8月23日,1962.78
2010年8月24日,1960.06
2010年8月25日,1915
2010年8月26日,1914.64
2010年8月27日,1917.58
2010年8月30日,1942.56
2010年8月31日,1923.91
2010年9月1日,1917.33
2010年9月2日,1935.92
2010年9月3日,1929.19
2010年9月6日,1975.68
2010年9月7日,1973.14
2010年9月8日,1956.33
2010年9月9日,1918.29
2010年9月10日,1915.64
2010年9月13日,1922.14
2010年9月14日,1925.01
2010年9月15日,1893.03
2010年9月16日,1858.45
2010年9月17日,1857.31
2010年9月20日,1860.85
2010年9月21日,1864.41
2010年9月27日,1881.55
2010年9月28日,1863.88
2010年9月29日,1868.75
2010年9月30日,1913.11
2010年10月8日,1990.01
2010年10月11日,2066.95
2010年10月12日,2091.78
2010年10月13日,2125.61
2010年10月14日,2160.84
2010年10月15日,2254.39
2010年10月18日,2241.72
2010年10月19日,2278.35
2010年10月20日,2285.21
2010年10月21日,2245.25
2010年10月22日,2231.06
2010年10月25日,2294.45
2010年10月26日,2272.21
2010年10月27日,2225.37
2010年10月28日,2224.24
2010年10月29日,2189.48
2010年11月1日,2238.47
2010年11月2日,2231.7
2010年11月3日,2226.47
2010年11月4日,2254.76
2010年11月5日,2279
2010年11月8日,2289.96
2010年11月9日,2257.35
2010年11月10日,2226.16
2010年11月11日,2252.28
2010年11月12日,2130.58
2010年11月15日,2126.7
2010年11月16日,2032.5
2010年11月17日,2013.61
2010年11月18日,2037.46
2010年11月19日,2039.44
2010年11月22日,2019.67
2010年11月23日,1981.26
2010年11月24日,2014.16
2010年11月25日,2041.34
2010年11月26日,2018.4
2010年11月29日,2011.9
2010年11月30日,1979.89
