日期,求和项:收盘
2010年6月9日,2583.87
2010年6月10日,2562.58
2010年6月11日,2569.94
2010年6月17日,2560.24
2010年6月18日,2513.22
2010年6月21日,2586.21
2010年6月22日,2588.7
2010年6月23日,2569.87
2010年6月24日,2566.74
2010年6月25日,2552.82
2010年6月28日,2535.28
2010年6月29日,2427.05
2010年6月30日,2398.37
2010年7月1日,2373.79
2010年7月2日,2382.9
2010年7月5日,2363.95
2010年7月6日,2409.42
2010年7月7日,2421.12
2010年7月8日,2415.15
2010年7月9日,2470.92
2010年7月12日,2490.72
2010年7月13日,2450.29
2010年7月14日,2470.44
2010年7月15日,2424.3
2010年7月16日,2424.27
2010年7月19日,2475.42
2010年7月20日,2528.73
2010年7月21日,2535.39
2010年7月22日,2562.41
2010年7月23日,2572.03
2010年7月26日,2588.68
2010年7月27日,2575.37
2010年7月28日,2633.66
2010年7月29日,2648.12
2010年7月30日,2637.5
2010年8月2日,2672.52
2010年8月3日,2627
2010年8月4日,2638.52
2010年8月5日,2620.76
2010年8月6日,2658.39
2010年8月9日,2672.53
2010年8月10日,2595.27
2010年8月11日,2607.5
2010年8月12日,2575.47
2010年8月13日,2606.7
2010年8月16日,2661.71
2010年8月17日,2671.89
2010年8月18日,2666.3
2010年8月19日,2687.98
2010年8月20日,2642.31
2010年8月23日,2639.37
2010年8月24日,2650.31
2010年8月25日,2596.58
2010年8月26日,2603.48
2010年8月27日,2610.74
2010年8月30日,2652.66
2010年8月31日,2638.8
2010年9月1日,2622.88
2010年9月2日,2655.78
2010年9月3日,2655.39
2010年9月6日,2696.25
2010年9月7日,2698.36
2010年9月8日,2695.29
2010年9月9日,2656.35
2010年9月10日,2663.21
2010年9月13日,2688.32
2010年9月14日,2688.52
2010年9月15日,2652.5
2010年9月16日,2602.47
2010年9月17日,2598.69
2010年9月20日,2588.71
2010年9月21日,2591.55
2010年9月27日,2627.97
2010年9月28日,2611.35
2010年9月29日,2610.68
2010年9月30日,2655.66
2010年10月8日,2738.74
2010年10月11日,2806.94
2010年10月12日,2841.41
2010年10月13日,2861.36
2010年10月14日,2879.64
2010年10月15日,2971.16
2010年10月18日,2955.23
2010年10月19日,3001.85
2010年10月20日,3003.95
2010年10月21日,2983.53
2010年10月22日,2975.04
2010年10月25日,3051.42
2010年10月26日,3041.54
2010年10月27日,2997.05
2010年10月28日,2992.58
2010年10月29日,2978.83
2010年11月1日,3054.02
2010年11月2日,3045.43
2010年11月3日,3030.99
2010年11月4日,3086.94
2010年11月5日,3129.5
2010年11月8日,3159.51
2010年11月9日,3135
2010年11月10日,3115.36
2010年11月11日,3147.74
2010年11月12日,2985.43
2010年11月15日,3014.41
2010年11月16日,2894.54
2010年11月17日,2838.86
2010年11月18日,2865.45
2010年11月19日,2888.57
2010年11月22日,2884.37
