日期,求和项:收盘
2010年6月9日,2782.13
2010年6月10日,2750.02
2010年6月11日,2758.87
2010年6月17日,2742.73
2010年6月18日,2696.17
2010年6月21日,2780.66
2010年6月22日,2783.72
2010年6月23日,2758.49
2010年6月24日,2757.5
2010年6月25日,2736.29
2010年6月28日,2716.78
2010年6月29日,2592.02
2010年6月30日,2563.07
2010年7月1日,2526.07
2010年7月2日,2534.11
2010年7月5日,2512.65
2010年7月6日,2562.9
2010年7月7日,2580.48
2010年7月8日,2575.92
2010年7月9日,2647.1
2010年7月12日,2676.22
2010年7月13日,2634.59
2010年7月14日,2653.61
2010年7月15日,2608.52
2010年7月16日,2616.13
2010年7月19日,2682.47
2010年7月20日,2741.5
2010年7月21日,2747.34
2010年7月22日,2781.29
2010年7月23日,2793.08
2010年7月26日,2811.05
2010年7月27日,2795.72
2010年7月28日,2863.72
2010年7月29日,2877.98
2010年7月30日,2868.85
2010年8月2日,2917.28
2010年8月3日,2865.97
2010年8月4日,2876.43
2010年8月5日,2850.83
2010年8月6日,2897.66
2010年8月9日,2918.24
2010年8月10日,2832.64
2010年8月11日,2850.21
2010年8月12日,2816.39
2010年8月13日,2855.55
2010年8月16日,2922.08
2010年8月17日,2942.29
2010年8月18日,2937.36
2010年8月19日,2955.39
2010年8月20日,2898.33
2010年8月23日,2896.19
2010年8月24日,2911.83
2010年8月25日,2843.02
2010年8月26日,2850.09
2010年8月27日,2858.57
2010年8月30日,2915.01
2010年8月31日,2903.19
2010年9月1日,2884.04
2010年9月2日,2921.39
2010年9月3日,2920.2
2010年9月6日,2975.09
2010年9月7日,2983.11
2010年9月8日,2980.97
2010年9月9日,2926.46
2010年9月10日,2932.55
2010年9月13日,2962.32
2010年9月14日,2965.01
2010年9月15日,2913.19
2010年9月16日,2857.79
2010年9月17日,2861.37
2010年9月20日,2849.83
2010年9月21日,2857.48
2010年9月27日,2905.03
2010年9月28日,2880.91
2010年9月29日,2874.81
2010年9月30日,2935.57
2010年10月8日,3044.23
2010年10月11日,3132.89
2010年10月12日,3172.73
2010年10月13日,3217.58
2010年10月14日,3224.14
2010年10月15日,3327.68
2010年10月18日,3306.16
2010年10月19日,3375.67
2010年10月20日,3396.88
2010年10月21日,3374.68
2010年10月22日,3378.66
2010年10月25日,3481.08
2010年10月26日,3466.08
2010年10月27日,3403.87
2010年10月28日,3397.69
2010年10月29日,3379.98
2010年11月1日,3472.99
2010年11月2日,3463.13
2010年11月3日,3420.34
2010年11月4日,3480.51
2010年11月5日,3520.8
2010年11月8日,3548.57
2010年11月9日,3523.95
2010年11月10日,3499.11
2010年11月11日,3509.97
2010年11月12日,3291.83
2010年11月15日,3314.89
2010年11月16日,3169.54
2010年11月17日,3103.91
2010年11月18日,3147.96
2010年11月19日,3178.85
2010年11月22日,3171.94
2010年11月23日,3107.18
2010年11月24日,3177.04
2010年11月25日,3223.48
2010年11月26日,3194.85
2010年11月29日,3190.05
2010年11月30日,3136.99
2010年12月1日,3136.02
2010年12月2日,3155.06
2010年12月3日,3158.16
2010年12月6日,3165.57
2010年12月7日,3200.34
2010年12月8日,3171.88
2010年12月9日,3123.37
2010年12月10日,3161.98
2010年12月13日,3261.06
2010年12月14日,3269.47
2010年12月15日,3247.64
2010年12月16日,3230.66
2010年12月17日,3225.66
2010年12月20日,3178.66
2010年12月21日,3249.51
2010年12月22日,3215.45
2010年12月23日,3188.61
2010年12月24日,3162.95
2010年12月27日,3099.71
2010年12月28日,3044.93
2010年12月29日,3061.83
2010年12月30日,3064.1
2010年12月31日,3128.26
2011年1月4日,3189.68
2011年1月5日,3175.66
2011年1月6日,3159.64
2011年1月7日,3166.62
2011年1月10日,3108.19
2011年1月11日,3124.92
2011年1月12日,3142.34
2011年1月13日,3141.28
2011年1月14日,3091.86
2011年1月17日,2974.35
2011年1月18日,2977.65
2011年1月19日,3044.85
2011年1月20日,2944.71
2011年1月21日,2983.46
2011年1月24日,2954.23
2011年1月25日,2938.65
2011年1月26日,2978.43
2011年1月27日,3026.47
2011年1月28日,3036.74
2011年1月31日,3076.51
2011年2月1日,3077.28
2011年2月9日,3040.95
2011年2月10日,3104.16
2011年2月11日,3120.96
2011年2月14日,3219.14
2011年2月15日,3217.67
2011年2月16日,3248.53
2011年2月17日,3245.91
2011年2月18日,3211.88
2011年2月21日,3257.91
2011年2月22日,3163.58
2011年2月23日,3174.74
2011年2月24日,3190.93
2011年2月25日,3197.62
2011年2月28日,3239.56
2011年3月1日,3254.89
2011年3月2日,3243.3
2011年3月3日,3221.72
2011年3月4日,3270.67
2011年3月7日,3334.51
2011年3月8日,3337.46
2011年3月9日,3338.86
2011年3月10日,3280.26
2011年3月11日,3247.38
2011年3月14日,3262.92
2011年3月15日,3203.96
2011年3月16日,3248.2
2011年3月17日,3197.1
2011年3月18日,3215.68
2011年3月21日,3207.11
2011年3月22日,3222.96
2011年3月23日,3264.93
2011年3月24日,3251.36
2011年3月25日,3294.48
2011年3月28日,3290.57
2011年3月29日,3257.98
2011年3月30日,3256.08
2011年3月31日,3223.29
2011年4月1日,3272.73
2011年4月6日,3311.07
2011年4月7日,3324.42
2011年4月8日,3353.36
2011年4月11日,3333.43
2011年4月12日,3326.77
2011年4月13日,3372.03
2011年4月14日,3353.56
2011年4月15日,3358.94
2011年4月18日,3359.44
2011年4月19日,3295.81
2011年4月20日,3295.76
2011年4月21日,3317.37
2011年4月22日,3299.94
2011年4月25日,3249.57
2011年4月26日,3230.96
2011年4月27日,3209.5
2011年4月28日,3161.78
2011年4月29日,3192.72
2011年5月3日,3211.13
2011年5月4日,3129.03
2011年5月5日,3126.12
2011年5月6日,3121.4
2011年5月9日,3129.76
2011年5月10日,3153.22
2011年5月11日,3145.09
2011年5月12日,3101.6
2011年5月13日,3128.09
2011年5月16日,3100.46
2011年5月17日,3116.03
2011年5月18日,3139.38
2011年5月19日,3120.64
2011年5月20日,3121.6
2011年5月23日,3022.98
2011年5月24日,3026.22
2011年5月25日,2990.34
2011年5月26日,2978.38
2011年5月27日,2963.31
2011年5月30日,2954.51
2011年5月31日,3001.56
2011年6月1日,3004.17
2011年6月2日,2955.7
2011年6月3日,2986.35
2011年6月7日,3004.26
2011年6月8日,3008.65
2011年6月9日,2951.89
2011年6月10日,2961.93
2011年6月13日,2950.35
2011年6月14日,2993.56
2011年6月15日,2963.12
2011年6月16日,2917.58
2011年6月17日,2892.16
2011年6月20日,2874.9
2011年6月21日,2909.07
2011年6月22日,2908.58
2011年6月23日,2957.63
2011年6月24日,3027.47
2011年6月27日,3036.49
2011年6月28日,3041.73
2011年6月29日,3000.17
2011年6月30日,3044.09
2011年7月1日,3049.74
2011年7月4日,3121.98
2011年7月5日,3122.5
2011年7月6日,3113.71
2011年7月7日,3101.68
2011年7月8日,3109.18
2011年7月11日,3113.21
2011年7月12日,3056.91
2011年7月13日,3106.25
2011年7月14日,3115.74
2011年7月15日,3128.89
2011年7月18日,3122.6
2011年7月19日,3095.12
2011年7月20日,3091.57
2011年7月21日,3059.14
2011年7月22日,3067.99
2011年7月25日,2968.29
2011年7月26日,2977.77
2011年7月27日,3000.05
2011年7月28日,2981
2011年7月29日,2972.08
2011年8月1日,2977.72
2011年8月2日,2956.38
2011年8月3日,2954.87
2011年8月4日,2960.31
2011年8月5日,2897.42
2011年8月8日,2793.9
2011年8月9日,2798.19
2011年8月10日,2824.12
2011年8月11日,2866.92
2011年8月12日,2875.36
2011年8月15日,2917.88
2011年8月16日,2897.58
2011年8月17日,2886.01
2011年8月18日,2834.25
2011年8月19日,2807.66
2011年8月22日,2777.79
2011年8月23日,2821
2011年8月24日,2810.02
2011年8月25日,2903.84
2011年8月26日,2901.22
2011年8月29日,2852.81
2011年8月30日,2841.74
2011年8月31日,2846.78
2011年9月1日,2834.53
2011年9月2日,2803.85
2011年9月5日,2743.82
2011年9月6日,2723.3
2011年9月7日,2779.09
2011年9月8日,2756.11
2011年9月9日,2751.09
2011年9月13日,2720.28
2011年9月14日,2733.11
2011年9月15日,2729.05
2011年9月16日,2733.99
2011年9月19日,2679.27
2011年9月20日,2689.84
2011年9月21日,2771.01
2011年9月22日,2685.69
2011年9月23日,2669.48
2011年9月26日,2610.92
2011年9月27日,2637.88
2011年9月28日,2610.59
2011年9月29日,2588.18
2011年9月30日,2581.35
2011年10月10日,2557.08
2011年10月11日,2551.99
2011年10月12日,2644.76
2011年10月13日,2662.6
2011年10月14日,2653.78
2011年10月17日,2666.95
2011年10月18日,2592.21
2011年10月19日,2583.08
2011年10月20日,2520.53
2011年10月21日,2507.88
2011年10月24日,2576.67
2011年10月25日,2625.43
2011年10月26日,2651.65
2011年10月27日,2657.48
2011年10月28日,2709.02
2011年10月31日,2695.31
2011年11月1日,2697.53
2011年11月2日,2742.39
2011年11月3日,2744.3
2011年11月4日,2763.75
2011年11月7日,2736.25
2011年11月8日,2727.71
2011年11月9日,2751.65
2011年11月10日,2699.59
2011年11月11日,2695
2011年11月14日,2750.2
2011年11月15日,2744.68
2011年11月16日,2670.12
2011年11月17日,2662.02
2011年11月18日,2606.49
2011年11月21日,2609.69
2011年11月22日,2609.47
2011年11月23日,2584.01
2011年11月24日,2588.91
2011年11月25日,2569.97
2011年11月28日,2573.32
2011年11月29日,2608.57
2011年11月30日,2521.52
2011年12月1日,2583.61
2011年12月2日,2557.31
2011年12月5日,2521.39
2011年12月6日,2516.34
2011年12月7日,2528.23
2011年12月8日,2525
2011年12月9日,2503.46
2011年12月12日,2477.69
2011年12月13日,2421.93
2011年12月14日,2397.48
2011年12月15日,2340.79
2011年12月16日,2390.13
2011年12月19日,2384.41
2011年12月20日,2377.07
2011年12月21日,2339.11
2011年12月22日,2341.34
2011年12月23日,2359.16
2011年12月26日,2335.7
2011年12月27日,2305.03
2011年12月28日,2307.93
2011年12月29日,2311.36
2011年12月30日,2345.74
2012年1月4日,2298.75
2012年1月5日,2276.39
2012年1月6日,2290.6
2012年1月9日,2368.57
2012年1月10日,2447.35
2012年1月11日,2435.61
2012年1月12日,2435.22
2012年1月13日,2394.33
2012年1月16日,2345.65
2012年1月17日,2460.6
2012年1月18日,2422.19
2012年1月19日,2468.35
2012年1月20日,2504.09
2012年1月30日,2460.72
2012年1月31日,2464.26
2012年2月1日,2428.99
2012年2月2日,2486.24
2012年2月3日,2506.09
2012年2月6日,2504.32
2012年2月7日,2457.95
2012年2月8日,2528.24
2012年2月9日,2529.23
2012年2月10日,2533.62
2012年2月13日,2531.98
2012年2月14日,2522.11
2012年2月15日,2549.61
2012年2月16日,2536.07
2012年2月17日,2537.09
2012年2月20日,2540.71
2012年2月21日,2562.45
2012年2月22日,2597.48
2012年2月23日,2606.26
2012年2月24日,2648.02
2012年2月27日,2656.57
2012年2月28日,2662.46
2012年2月29日,2634.14
2012年3月1日,2633.34
2012年3月2日,2679.93
2012年3月5日,2662.7
2012年3月6日,2621.05
2012年3月7日,2603.01
2012年3月8日,2635.79
2012年3月9日,2664.3
2012年3月12日,2654.4
2012年3月13日,2681.07
2012年3月14日,2605.11
2012年3月15日,2585.55
2012年3月16日,2623.52
2012年3月19日,2630.01
2012年3月20日,2584.45
2012年3月21日,2587.79
2012年3月22日,2583.75
2012年3月23日,2552.94
2012年3月26日,2555.44
2012年3月27日,2547.14
2012年3月28日,2474.9
2012年3月29日,2443.12
2012年3月30日,2454.9
2012年4月5日,2512.83
2012年4月6日,2519.83
2012年4月9日,2495.15
2012年4月10日,2519.79
2012年4月11日,2520.04
2012年4月12日,2570.44
2012年4月13日,2580.45
2012年4月16日,2574.04
2012年4月17日,2541.88
2012年4月18日,2599.91
2012年4月19日,2596.06
2012年4月20日,2626.84
2012年4月23日,2606.04
2012年4月24日,2604.87
2012年4月25日,2625.99
2012年4月26日,2631.49
2012年4月27日,2626.16
2012年5月2日,2683.49
2012年5月3日,2691.52
2012年5月4日,2715.88
2012年5月7日,2717.78
2012年5月8日,2709.12
2012年5月9日,2657.51
2012年5月10日,2657.21
2012年5月11日,2636.92
2012年5月14日,2615.53
2012年5月15日,2617.37
2012年5月16日,2574.65
2012年5月17日,2613.94
2012年5月18日,2573.98
2012年5月21日,2587.23
2012年5月22日,2627.53
2012年5月23日,2616.87
2012年5月24日,2595.26
2012年5月25日,2573.1
2012年5月28日,2614.69
2012年5月29日,2650.85
2012年5月30日,2642.26
2012年5月31日,2632.04
2012年6月1日,2633
2012年6月4日,2559.03
2012年6月5日,2558.84
2012年6月6日,2557.4
2012年6月7日,2542.18
2012年6月8日,2524.33
2012年6月11日,2558.26
2012年6月12日,2540.18
2012年6月13日,2580.64
2012年6月14日,2560.42
2012年6月15日,2568.05
2012年6月18日,2581.21
2012年6月19日,2558.62
2012年6月20日,2552.61
2012年6月21日,2512.18
2012年6月25日,2456.52
2012年6月26日,2454.91
2012年6月27日,2447.2
2012年6月28日,2425.73
2012年6月29日,2461.61
2012年7月2日,2465.24
2012年7月3日,2468.72
2012年7月4日,2464.92
2012年7月5日,2430.37
2012年7月6日,2472.61
2012年7月9日,2416.04
2012年7月10日,2406.71
2012年7月11日,2425.57
2012年7月12日,2449.18
2012年7月13日,2450.63
2012年7月16日,2399.73
2012年7月17日,2414.2
2012年7月18日,2414.34
2012年7月19日,2424.32
2012年7月20日,2398.45
2012年7月23日,2365.43
2012年7月24日,2375.99
2012年7月25日,2360.08
2012年7月26日,2347.49
2012年7月27日,2349.11
2012年7月30日,2335.79
2012年7月31日,2332.92
2012年8月1日,2358.65
2012年8月2日,2334.88
2012年8月3日,2353.74
2012年8月6日,2385.61
2012年8月7日,2388.87
2012年8月8日,2389.8
2012年8月9日,2411.7
2012年8月10日,2399.75
2012年8月13日,2351.93
2012年8月14日,2357.02
2012年8月15日,2331.61
2012年8月16日,2319.67
2012年8月17日,2313.48
2012年8月20日,2301.79
2012年8月21日,2313.7
2012年8月22日,2295.59
2012年8月23日,2302.2
2012年8月24日,2275.68
2012年8月27日,2228.2
2012年8月28日,2238.41
2012年8月29日,2214.81
2012年8月30日,2211.37
2012年8月31日,2204.87
2012年9月3日,2228.37
2012年9月4日,2204.41
2012年9月5日,2199.88
2012年9月6日,2217.82
2012年9月7日,2317.18
2012年9月10日,2326.67
2012年9月11日,2311.89
2012年9月12日,2320.07
2012年9月13日,2298.46
2012年9月14日,2315.54
2012年9月17日,2258.7
2012年9月18日,2235.24
2012年9月19日,2246.24
2012年9月20日,2195.95
2012年9月21日,2199.06
2012年9月24日,2215.52
2012年9月25日,2210.15
2012年9月26日,2184.89
2012年9月27日,2251.72
2012年9月28日,2293.11
2012年10月8日,2270.05
2012年10月9日,2320.16
2012年10月10日,2324.12
2012年10月11日,2302.53
2012年10月12日,2304.53
2012年10月15日,2294.86
2012年10月16日,2298.16
2012年10月17日,2300.8
2012年10月18日,2336.08
2012年10月19日,2332.47
2012年10月22日,2341.59
2012年10月23日,2312.08
2012年10月24日,2307.78
2012年10月25日,2291.24
2012年10月26日,2247.91
2012年10月29日,2235.85
2012年10月30日,2239.88
2012年10月31日,2254.82
2012年11月1日,2297.88
2012年11月2日,2306.77
2012年11月5日,2301.88
2012年11月6日,2292.21
2012年11月7日,2287.51
2012年11月8日,2245.41
2012年11月9日,2240.92
2012年11月12日,2251.85
2012年11月13日,2212.44
2012年11月14日,2223.11
2012年11月15日,2193.62
2012年11月16日,2177.24
2012年11月19日,2174.99
2012年11月20日,2164.88
2012年11月21日,2194.9
2012年11月22日,2177.55
2012年11月23日,2192.68
2012年11月26日,2175.6
2012年11月27日,2150.64
2012年11月28日,2129.16
2012年11月29日,2115.68
2012年11月30日,2139.66
2012年12月3日,2108.85
2012年12月4日,2131.47
2012年12月5日,2207.88
2012年12月6日,2203.6
2012年12月7日,2246.76
2012年12月10日,2271.05
2012年12月11日,2258.5
2012年12月12日,2267.77
2012年12月13日,2242.64
2012年12月14日,2355.86
2012年12月17日,2366.7
2012年12月18日,2368.12
2012年12月19日,2371.11
2012年12月20日,2384.82
2012年12月21日,2372
2012年12月24日,2381.22
2012年12月25日,2448.39
2012年12月26日,2457.62
2012年12月27日,2444.59
2012年12月28日,2480.05
2012年12月31日,2522.95
2013年1月4日,2524.41
2013年1月7日,2535.99
2013年1月8日,2525.33
2013年1月9日,2526.13
2013年1月10日,2530.57
2013年1月11日,2483.23
2013年1月14日,2577.72
2013年1月15日,2595.86
2013年1月16日,2577.09
2013年1月17日,2552.76
2013年1月18日,2595.44
2013年1月21日,2610.9
2013年1月22日,2596.9
2013年1月23日,2607.46
2013年1月24日,2582.76
2013年1月25日,2571.67
2013年1月28日,2651.86
2013年1月29日,2675.87
2013年1月30日,2688.71
2013年1月31日,2686.88
2013年2月1日,2743.32
2013年2月4日,2748.03
2013年2月5日,2771.68
2013年2月6日,2775.84
2013年2月7日,2759.87
2013年2月8日,2771.72
2013年2月16日,2771.72
2013年2月17日,2771.72
2013年2月18日,2737.47
2013年2月19日,2685.61
2013年2月20日,2702.64
2013年2月21日,2610.55
2013年2月22日,2596.6
2013年2月25日,2604.96
2013年2月26日,2567.59
2013年2月27日,2594.68
2013年2月28日,2673.33
2013年3月1日,2668.84
2013年3月4日,2545.72
2013年3月5日,2622.81
2013年3月6日,2650.2
2013年3月7日,2619.48
2013年3月8日,2606.93
2013年3月11日,2592.37
2013年3月12日,2555.61
2013年3月13日,2527.49
2013年3月14日,2534.27
2013年3月15日,2539.87
2013年3月18日,2502.49
2013年3月19日,2525.1
2013年3月20日,2610.17
2013年3月21日,2614.99
2013年3月22日,2618.31
2013年3月25日,2613.1
2013年3月26日,2575.05
2013年3月27日,2583.53
2013年3月28日,2499.3
2013年3月29日,2495.08
2013年4月1日,2493.19
2013年4月2日,2486.39
2013年4月3日,2483.55
2013年4月8日,2472.3
2013年4月9日,2489.43
2013年4月10日,2485.31
2013年4月11日,2477.88
2013年4月12日,2462.11
2013年4月15日,2436.82
2013年4月16日,2459.59
2013年4月17日,2458.47
2013年4月18日,2464.85
2013年4月19日,2533.83
2013年4月22日,2530.67
2013年4月23日,2449.47
2013年4月24日,2495.58
2013年4月25日,2467.88
2013年4月26日,2447.31
2013年5月2日,2449.64
2013年5月3日,2492.91
2013年5月6日,2525.98
2013年5月7日,2529.94
2013年5月8日,2542.8
2013年5月9日,2527.79
2013年5月10日,2540.84
2013年5月13日,2530.77
2013年5月14日,2493.34
2013年5月15日,2506.93
2013年5月16日,2552.71
2013年5月17日,2592.05
2013年5月20日,2609.61
2013年5月21日,2614.85
2013年5月22日,2618.03
2013年5月23日,2582.85
2013年5月24日,2597.23
2013年5月27日,2599.59
2013年5月28日,2644.36
2013年5月29日,2642.56
2013年5月30日,2634.32
2013年5月31日,2606.43
2013年6月3日,2602.62
2013年6月4日,2565.67
2013年6月5日,2560.54
2013年6月6日,2527.84
2013年6月7日,2484.16
2013年6月13日,2399.94
2013年6月14日,2416.77
2013年6月17日,2403.84
2013年6月18日,2418.74
2013年6月19日,2400.76
2013年6月20日,2321.47
2013年6月21日,2317.39
2013年6月24日,2171.21
2013年6月25日,2165.42
2013年6月26日,2168.3
2013年6月27日,2160.74
2013年6月28日,2200.64
2013年7月1日,2213.32
2013年7月2日,2221.98
2013年7月3日,2203.83
2013年7月4日,2221.98
2013年7月5日,2226.85
2013年7月8日,2163.62
2013年7月9日,2162.67
2013年7月10日,2224.07
2013年7月11日,2326.69
2013年7月12日,2275.37
2013年7月15日,2307.3
2013年7月16日,2317.85
2013年7月17日,2282.84
2013年7月18日,2245.33
2013年7月19日,2190.48
2013年7月22日,2202.19
2013年7月23日,2265.84
2013年7月24日,2249.15
2013年7月25日,2237.68
2013年7月26日,2224.01
2013年7月29日,2175.97
2013年7月30日,2189.39
2013年7月31日,2193.02
2013年8月1日,2245.36
2013年8月2日,2247.26
2013年8月5日,2278.33
2013年8月6日,2293.64
2013年8月7日,2280.62
2013年8月8日,2276.78
2013年8月9日,2286.01
2013年8月12日,2352.79
2013年8月13日,2359.07
2013年8月14日,2349.08
2013年8月15日,2321.58
2013年8月16日,2304.14
2013年8月19日,2331.43
2013年8月20日,2312.47
2013年8月21日,2308.59
2013年8月22日,2303.93
2013年8月23日,2286.93
2013年8月26日,2335.62
2013年8月27日,2340.88
2013年8月28日,2328.06
2013年8月29日,2318.31
2013年8月30日,2313.91
2013年9月2日,2320.34
2013年9月3日,2354.5
2013年9月4日,2350.7
2013年9月5日,2341.74
2013年9月6日,2357.78
2013年9月9日,2440.61
2013年9月10日,2474.89
2013年9月11日,2482.89
2013年9月12日,2507.45
2013年9月13日,2488.9
2013年9月16日,2478.39
2013年9月17日,2427.32
2013年9月18日,2432.51
2013年9月23日,2472.29
2013年9月24日,2443.89
2013年9月25日,2429.03
2013年9月26日,2384.44
