日期,求和项:收盘
2010年6月9日,10346.27
2010年6月10日,10222.22
2010年6月11日,10239.33
2010年6月17日,10162.36
2010年6月18日,9966.54
2010年6月21日,10309.6
2010年6月22日,10345.55
2010年6月23日,10256.27
2010年6月24日,10250.9
2010年6月25日,10104.83
2010年6月28日,10012.06
2010年6月29日,9508.91
2010年6月30日,9386.94
2010年7月1日,9203.91
2010年7月2日,9227.89
2010年7月5日,9171.03
2010年7月6日,9363.02
2010年7月7日,9485.43
2010年7月8日,9465.8
2010年7月9日,9816.85
2010年7月12日,9959.22
2010年7月13日,9801.76
2010年7月14日,9803.72
2010年7月15日,9718.73
2010年7月16日,9806.64
2010年7月19日,10097.1
2010年7月20日,10339.43
2010年7月21日,10324.13
2010年7月22日,10471.77
2010年7月23日,10527.94
2010年7月26日,10591.12
2010年7月27日,10566.21
2010年7月28日,10825.17
2010年7月29日,10838.91
2010年7月30日,10785.35
2010年8月2日,11004.74
2010年8月3日,10830.7
2010年8月4日,10870.38
2010年8月5日,10768.08
2010年8月6日,10942.93
2010年8月9日,11017.41
2010年8月10日,10715.39
2010年8月11日,10806.62
2010年8月12日,10680.02
2010年8月13日,10886.57
2010年8月16日,11164.79
2010年8月17日,11281.97
2010年8月18日,11282.33
2010年8月19日,11321.17
2010年8月20日,11090.46
2010年8月23日,11078.85
2010年8月24日,11214.24
2010年8月25日,10963.99
2010年8月26日,11009.49
2010年8月27日,11034.73
2010年8月30日,11303.33
2010年8月31日,11338.71
2010年9月1日,11318.74
2010年9月2日,11465.15
2010年9月3日,11467.09
2010年9月6日,11656.08
2010年9月7日,11682.7
2010年9月8日,11722.78
2010年9月9日,11465.35
2010年9月10日,11530.99
2010年9月13日,11690.35
2010年9月14日,11665.41
2010年9月15日,11412.1
2010年9月16日,11164.02
2010年9月17日,11208.25
2010年9月20日,11150.33
2010年9月21日,11210.74
2010年9月27日,11409.81
2010年9月28日,11274.49
2010年9月29日,11223.86
2010年9月30日,11468.54
2010年10月8日,11911.37
2010年10月11日,12237.65
2010年10月12日,12373.28
2010年10月13日,12603
2010年10月14日,12507.71
2010年10月15日,12765.5
2010年10月18日,12649.27
2010年10月19日,12970.2
2010年10月20日,13130.01
2010年10月21日,13111.52
2010年10月22日,13224.98
2010年10月25日,13734.2
2010年10月26日,13729.96
2010年10月27日,13452.17
2010年10月28日,13445.02
2010年10月29日,13367.24
2010年11月1日,13743.77
2010年11月2日,13646.46
2010年11月3日,13392.7
2010年11月4日,13595.73
2010年11月5日,13733.36
2010年11月8日,13807.3
2010年11月9日,13714.29
2010年11月10日,13705.68
2010年11月11日,13684.94
2010年11月12日,12726.54
2010年11月15日,12808.09
2010年11月16日,12217.27
2010年11月17日,11917.49
2010年11月18日,12146.15
2010年11月19日,12295.85
2010年11月22日,12303.55
2010年11月23日,12062.41
2010年11月24日,12407.66
2010年11月25日,12604.08
2010年11月26日,12539.01
2010年11月29日,12536.55
2010年11月30日,12336.29
2010年12月1日,12310.38
2010年12月2日,12409.02
2010年12月3日,12443
2010年12月6日,12422.78
2010年12月7日,12657
2010年12月8日,12615.41
2010年12月9日,12353.27
2010年12月10日,12460.46
2010年12月13日,12905.02
2010年12月14日,12926.61
2010年12月15日,12829.36
2010年12月16日,12795.68
2010年12月17日,12759.6
2010年12月20日,12557.55
2010年12月21日,12872.45
2010年12月22日,12766.95
2010年12月23日,12644.58
2010年12月24日,12556.84
2010年12月27日,12303.19
2010年12月28日,12063.8
2010年12月29日,12114.56
2010年12月30日,12138.9
2010年12月31日,12458.55
2011年1月4日,12714.51
2011年1月5日,12647.63
2011年1月6日,12599.66
2011年1月7日,12573.94
2011年1月10日,12331.16
2011年1月11日,12385.17
2011年1月12日,12409.98
2011年1月13日,12423.34
2011年1月14日,12294.17
2011年1月17日,11734.62
2011年1月18日,11771.59
2011年1月19日,12066.55
2011年1月20日,11566.74
2011年1月21日,11639.96
2011年1月24日,11488.92
2011年1月25日,11446.37
2011年1月26日,11599.67
2011年1月27日,11795.33
2011年1月28日,11894.23
2011年1月31日,11994.68
2011年2月1日,11991.51
2011年2月9日,11807.93
2011年2月10日,12170.51
2011年2月11日,12292.49
2011年2月14日,12737.8
2011年2月15日,12711.58
2011年2月16日,12884.87
2011年2月17日,12788.33
2011年2月18日,12613.11
2011年2月21日,12872.47
2011年2月22日,12473.33
2011年2月23日,12492.7
2011年2月24日,12578.43
2011年2月25日,12633.88
2011年2月28日,12902.43
2011年3月1日,12948.72
2011年3月2日,12880.27
2011年3月3日,12698.16
2011年3月4日,12893.84
2011年3月7日,13140.88
2011年3月8日,13144.18
2011年3月9日,13158.22
2011年3月10日,13004.85
2011年3月11日,12848.02
2011年3月14日,12958.29
2011年3月15日,12705.32
2011年3月16日,12865.75
2011年3月17日,12650.67
2011年3月18日,12721.99
2011年3月21日,12643.73
2011年3月22日,12667.26
2011年3月23日,12845.53
2011年3月24日,12771.45
2011年3月25日,12942.07
2011年3月28日,12875.52
2011年3月29日,12677.61
2011年3月30日,12661.22
2011年3月31日,12562.9
2011年4月1日,12699.42
2011年4月6日,12740.87
2011年4月7日,12890.66
2011年4月8日,13036.23
2011年4月11日,12925.05
2011年4月12日,12902.22
2011年4月13日,13102.08
2011年4月14日,12991.92
2011年4月15日,12965.75
2011年4月18日,13001.33
2011年4月19日,12799.24
2011年4月20日,12753.85
2011年4月21日,12798.75
2011年4月22日,12708.42
2011年4月25日,12508.01
2011年4月26日,12448.48
2011年4月27日,12358.88
2011年4月28日,12149.25
2011年4月29日,12312.99
2011年5月3日,12423.46
2011年5月4日,12070.41
2011年5月5日,12085.99
2011年5月6日,12067.61
2011年5月9日,12125.01
2011年5月10日,12216.94
2011年5月11日,12202.62
2011年5月12日,12072.21
2011年5月13日,12156.6
2011年5月16日,12051.24
2011年5月17日,12128.5
2011年5月18日,12230.69
2011年5月19日,12158.11
2011年5月20日,12161.03
2011年5月23日,11742.19
2011年5月24日,11749.92
2011年5月25日,11615.42
2011年5月26日,11530.7
2011年5月27日,11492.71
2011年5月30日,11478.21
2011年5月31日,11665.14
2011年6月1日,11699.83
2011年6月2日,11506.52
2011年6月3日,11642.4
2011年6月7日,11741.26
2011年6月8日,11761.1
2011年6月9日,11513.2
2011年6月10日,11593.38
2011年6月13日,11521.98
2011年6月14日,11732.04
2011年6月15日,11615.97
2011年6月16日,11435.99
2011年6月17日,11409.16
2011年6月20日,11328.67
2011年6月21日,11509.98
2011年6月22日,11543.65
2011年6月23日,11775.32
2011年6月24日,11996.08
2011年6月27日,12026.29
